author,avgrating,awards,five_stars,four_stars,genre,numpages,one_stars,origpubdate,pubyear,pubdate,publisher,three_stars,title,totalratings,totalreviews,two_stars
Edith Pattou,4.15,,15036,11039,Fantasy,507,448,September 1st 2003,2003,May 1st 2005,HMH Books for Young Readers,5978,East,33879,2104,1378
Cecelia Ahern,4.01,,119791,94735,Romance,470,7561,September 1st 2003,2003,January 5th 2005,Hachette Books,59464,P.S. I Love You,298688,7319,17137
Dave Eggers,3.62,,5675,9208,Fiction,401,833,September 1st 2002,2002,July 1st 2003,Vintage,7862,You Shall Know Our Velocity!,26188,1584,2610
Jennifer Weiner,3.78,,46823,66537,Womens Fiction,537,3759,September 1st 2002,2002,October 3rd 2005,Pocket Books,51973,In Her Shoes,181211,2598,12119
J.D. Robb,4.31,,10383,8065,Mystery,354,46,September 1st 2001,2001,2004,Piatkus,2951,Seduction in Death,21699,603,254
Jim Butcher,4.18,,44835,46865,Fantasy,378,303,September 1st 2001,2001,September 4th 2001,Roc,19145,Grave Peril,113327,4265,2179
Deborah Ellis,3.94,,5138,5978,Young Adult,171,302,September 1st 2000,2000,October 25th 2001,Groundwood Books,3455,The Breadwinner,15701,1689,828
Juliet Marillier,4.32,,12572,8437,Fantasy,608,123,September 1st 2000,2000,June 17th 2002,Tor Books,3226,Son of the Shadows,24858,1184,500
Steven Erikson,4.25,,21226,14768,Fantasy,604,594,September 1st 2000,2000,February 1st 2005,Tor Books,5724,Deadhouse Gates,43713,1625,1401
Sarah Dessen,3.91,,24269,21385,Young Adult,250,1612,September 1st 2000,2000,May 11th 2004,Speak,15853,Dreamland,68061,3955,4942
Dan Savage,4.03,,2775,3379,Nonfiction,246,111,September 1st 1999,1999,June 1st 2000,Penguin Books,1619,The Kid: (What Happened After My Boyfriend and I Decided to Go Get Pregnant) an Adoption Story,8164,592,280
Erin Gruwell,4.1,,5293,4326,Nonfiction,316,186,September 1st 1999,1999,October 12th 2009,Broadway Books,2329,The Freedom Writers Diary,12724,1477,590
Doreen Cronin,4.23,,37311,19444,Childrens,32,1100,September 1st 1999,1999,2000,Simon & Schuster Books for Young Readers,11487,"Click, Clack, Moo: Cows That Type",72172,2472,2830
Sarah Dessen,3.86,,17709,18571,Young Adult,228,901,September 1st 1999,1999,May 11th 2004,Speak,15396,Keeping the Moon,56315,2553,3738
Kohta Hirano,4.27,,14012,6421,Sequential Art,176,509,September 1st 1998,1998,December 2nd 2003,Dark Horse Manga,3645,"Hellsing, Vol. 01",25575,277,988
John C. Maxwell,4.13,,15093,11546,Leadership,256,627,September 1st 1998,1998,September 16th 1998,Thomas Nelson,5973,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,34611,885,1372
Ted Andrews,4.26,,4740,2686,Spirituality,383,120,September 1st 1996,1996,September 8th 2002,Llewellyn Publications,1400,Animal Speak: The Spiritual & Magical Powers of Creatures Great and Small,9249,200,303
Stephen R. Covey,4.14,,3440,2492,Parenting,390,141,September 1st 1996,1996,September 15th 1998,Griffin,1331,The 7 Habits of Highly Effective Families: Building a Beautiful Family Culture in a Turbulent World,7719,271,315
Neil Gaiman,4.59,,25444,9542,Sequential Art,352,87,September 1st 1996,1996,August 6th 1999,Vertigo,2283,The Kindly Ones,37660,1001,304
Andrew Clements,3.8,,29338,27540,Realistic Fiction,105,2787,September 1st 1996,1996,February 1st 1998,Atheneum Books for Young Readers,23910,Frindle,91485,3447,7910
Ellen DeGeneres,3.68,,1890,2213,Humor,211,255,September 1st 1995,1995,September 3rd 1996,Bantam,1931,My Point... And I Do Have One,7016,510,727
Barbara Park,3.99,,4122,2175,Childrens,71,310,September 1st 1995,1995,September 19th 1995,Random House Books for Young Readers,1995,Junie B. Jones and the Yucky Blucky Fruitcake,9247,301,645
Rosamunde Pilcher,4.28,,6861,4904,Fiction,977,92,September 1st 1995,1995,July 1st 2005,Hodder & Stoughton,2028,Coming Home,14194,765,309
Bill Watterson,4.63,,36457,8833,Sequential Art,208,345,September 1st 1995,1995,September 5th 1995,Andrews McMeel Publishing,3092,The Calvin and Hobbes Tenth Anniversary Book,49339,367,612
Christopher Moore,3.94,,16312,22083,Humor,300,674,September 1st 1995,1995,June 1st 2004,HarperCollins,12998,Bloodsucking Fiends,54445,2301,2378
Jeanne Kalogridis,3.81,,1753,1685,Paranormal,384,162,September 1st 1994,1994,September 1st 1995,Dell,1384,Covenant with the Vampire,5452,176,468
Bill Watterson,4.72,,12548,2987,Sequential Art,175,14,September 1st 1994,1994,September 6th 1994,Andrews McMeel Publishing,718,Homicidal Psycho Jungle Cat,16324,300,57
Judith McNaught,4.12,,6948,5975,Romance,430,150,September 1st 1994,1994,December 7th 1995,Corgi,3086,Until You,16834,568,675
Sherman Alexie,4.09,,7935,8778,Short Stories,242,222,September 1st 1993,1993,February 8th 2005,Grove Press,3700,The Lone Ranger and Tonto Fistfight in Heaven,21423,1770,788
Stephen R. Covey,4.08,,11833,10612,Self Help,384,469,September 1st 1993,1993,January 17th 1996,Free Press,5864,First Things First,29924,375,1146
Vivian Vande Velde,3.94,,2461,2210,Fantasy,196,117,September 1st 1992,1992,April 1st 2003,HMH Books for Young Readers,1658,Dragon's Bait,6895,344,449
Anonymous,4.67,,12701,2167,Christian,2400,263,September 1st 1992,1992,March 18th 1997,Zondervan Publishing Company,752,Life Application Study Bible: NIV,16104,273,221
Vicki Robin,4.08,,4110,3366,Economics,400,169,September 1st 1992,1992,September 1st 1999,Penguin Books,1897,Your Money or Your Life,10012,815,470
Valerie Tripp,3.87,,3265,2808,Historical,69,180,September 1st 1991,1991,September 28th 1991,American Girl,2788,Meet Felicity: An American Girl,9635,220,594
